node,x,y,z,x_2d,y_2d
C12orf4,2.1138715744018555,0.9892828464508056,2.739833116531372,6.64901876449585,-6.75839376449585
TOR4A,0.8506783843040466,-0.2475758343935012,2.482137441635132,3.9026169776916504,-3.105022430419922
MED23,-0.4213832318782806,4.255375862121582,-4.546079158782959,14.466292381286621,10.293126106262207
ATAD3A,0.8798786997795105,0.3534910976886749,1.5618287324905396,6.599279880523682,-1.8299920558929443
TOM1L1,1.953953742980957,0.8060516119003296,2.361822843551636,6.895922660827637,-6.420827865600586
ANXA4,1.717584490776062,0.9738721251487732,2.6872544288635254,6.81990909576416,-6.59366512298584
TXNDC12,-1.7111631631851196,1.9602612257003784,-0.6085658669471741,11.975375175476074,8.873826026916504
USP45,0.1054703816771507,-0.7791453003883362,2.307018518447876,1.2833162546157837,1.505948781967163
CCDC14,0.987317442893982,0.5156285762786865,2.0626676082611084,5.968618869781494,-3.5110678672790527
BCAT2,1.696885347366333,-0.1913678646087646,1.4754669666290283,7.24000358581543,-2.415529251098633
GLE1,2.080075979232788,0.5176811814308167,2.631615161895752,6.013734817504883,-6.844395160675049
RPA3,1.0252162218093872,0.3109304308891296,2.4129421710968018,4.550481796264648,-4.534614086151123
MYH7,1.2687675952911377,0.4298320114612579,2.4200310707092285,5.392685413360596,-5.1561994552612305
TOPBP1,1.5385655164718628,0.9236465096473694,1.4061397314071655,8.262588500976562,-3.6096057891845703
VANGL1,0.6491313576698303,0.0806264579296112,2.062783479690552,4.797520637512207,-2.275010585784912
NCOA4,1.3335477113723757,1.82153582572937,1.0897984504699707,13.429306983947754,0.5446584820747375
PTDSS1,1.166226148605347,0.4620456099510193,1.8836827278137207,6.439416885375977,-3.2900753021240234
TASOR,0.4280840456485748,0.3469885587692261,2.59751296043396,4.6663689613342285,-3.904026985168457
ATP9B,1.9754831790924072,0.4029926061630249,1.4959956407546997,7.743129253387451,-3.841935634613037
BOP1,1.21812641620636,0.7156943678855896,1.904449462890625,7.010779857635498,-3.6475210189819336
TRAIP,1.2155827283859253,1.2171735763549805,-0.2988134026527405,12.321871757507324,1.6578559875488281
CSNK1G3,1.9831457138061523,0.6033845543861389,1.7519487142562866,7.664155960083008,-4.642458915710449
CNP,1.2687190771102903,0.8577858805656433,1.9019464254379272,7.3679704666137695,-4.096652984619141
DFFA,6.125858783721924,8.47830581665039,3.1774098873138428,21.922250747680664,7.93447208404541
